Company Name,Location,Job Title,Required Skills,Job Description,Experience Level,Salary Range,Posting Date,Job Type
Deloitte,Mumbai,Business Analyst,"SQL, Excel, Data Visualization",NA,Entry-level,18-25 LPA,29-09-2024,Full-time
PhonePe,Chennai,Data Analyst,"AWS, Azure, Docker",NA,Entry-level,10-15 LPA,10-10-2023,Contract
Byju's,Gurgaon,Full Stack Developer,"Python, ML, TensorFlow",NA,Entry-level,15-20 LPA,23-12-2024,Contract
HCL Technologies,Bangalore,Cloud Engineer,"AWS, Azure, Docker",NA,Senior,10-15 LPA,04-09-2024,Contract
HCL Technologies,Jaipur,ML Engineer,"Java, Spring Boot, Microservices",NA,Mid-level,6-10 LPA,13-11-2024,Part-time
Deloitte,Mumbai,Full Stack Developer,"Python, ML, TensorFlow",NA,Entry-level,15-20 LPA,22-12-2024,Full-time
Accenture,Ahmedabad,Cybersecurity Analyst,"Python, ML, TensorFlow",NA,Mid-level,10-15 LPA,24-07-2023,Full-time
Tata Consultancy Services,Ahmedabad,Software Engineer,"React, Node.js, SQL",NA,Entry-level,4-6 LPA,14-12-2024,Full-time
HCL Technologies,Mumbai,Frontend Developer,"HTML, CSS, JavaScript",NA,Senior,18-25 LPA,06-01-2023,Internship
Oracle,Coimbatore,Cybersecurity Analyst,"CI/CD, Jenkins, Kubernetes",NA,Mid-level,15-20 LPA,27-08-2023,Full-time
Capgemini,Nagpur,Cloud Engineer,"SQL, Excel, Data Visualization",NA,Entry-level,4-6 LPA,09-08-2023,Contract
Swiggy,Bangalore,Frontend Developer,"React, Node.js, SQL",NA,Senior,3-5 LPA,28-10-2023,Contract
Infosys,Lucknow,ML Engineer,"React, Node.js, SQL",NA,Entry-level,3-5 LPA,16-10-2023,Part-time
PhonePe,Bhopal,Data Analyst,"SQL, Power BI, Excel",NA,Senior,3-5 LPA,21-02-2023,Part-time
Deloitte,Indore,Software Engineer,"CI/CD, Jenkins, Kubernetes",NA,Mid-level,20-30 LPA,09-03-2025,Internship
Infosys,Indore,DevOps Engineer,"Python, NLP, AI models",NA,Mid-level,3-5 LPA,30-04-2023,Internship
Accenture,Nagpur,DevOps Engineer,"SQL, Excel, Data Visualization",NA,Senior,18-25 LPA,11-09-2023,Contract
Wipro,Ahmedabad,Software Engineer,"Ruby on Rails, PostgreSQL",NA,Mid-level,10-15 LPA,24-05-2023,Contract
